,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.06186,0.00518,0,0.04975,0.01554,0,0.02778,0.00535,0.0061,0.02618,0.00617,0.0398,0.00535,0.00535,0.00667,0,0.11111,0.03529,0,0.08531,0.01562,0.01554,0.00633,0.04908,0,0,0.00524,0,0.01075,0
edgeR,0.27692,0.24125,0.04412,0.22,0.16087,0.07353,0.22321,0.07843,0.06857,0.16055,0.07463,0.21008,0.09223,0.11737,0.10377,0.05473,0.36842,0.2,0.06566,0.2381,0.07619,0.02513,0.08197,0.13171,0.1327,0.07692,0.13778,0.0359,0.07729,0.07317
DESeq2,0.29278,0.24419,0.04902,0.24419,0.15789,0.08213,0.2625,0.08252,0.08092,0.15741,0.08416,0.21162,0.09314,0.13889,0.10377,0.06863,0.38658,0.22363,0.08824,0.24609,0.06763,0.03,0.07937,0.13953,0.13462,0.05882,0.13063,0.04569,0.07767,0.07426
voom,0.20248,0.0202,0.01639,0.07512,0.04926,0.01587,0.11058,0.01015,0.00556,0.0597,0.01156,0.09259,0.02083,0.02551,0.0122,0.0203,0.27481,0.07732,0.00521,0.14348,0.015,0,0.02339,0.11351,0.06044,0.00513,0.03483,0.01036,0.04061,0.02538
tweeDEseq,0.19469,0.0266,0.0241,0.08808,0.06173,0.02027,0.14525,0.00641,0.01361,0.05732,0.0137,0.08122,0.01124,0.04848,0.03356,0.01754,0.29075,0.11364,0.00552,0.19565,0.02198,0.00588,0.02597,0.08805,0.07097,0,0.01705,0.00606,0.02809,0.03086
ALDEx2,0.14286,0.00521,0,0.06,0.01036,0,0.02299,0.00529,0,0.02618,0,0.0398,0,0.00549,0,0.00526,0.15668,0.06593,0,0.13825,0.00532,0,0,0.06627,0.01274,0.01064,0.01058,0,0.01613,0
DSS,0.29963,0.22925,0.04902,0.24125,0.16883,0.07805,0.2618,0.06965,0.08621,0.14953,0.0625,0.21901,0.0936,0.14419,0.10952,0.05941,0.40741,0.23109,0.07538,0.25581,0.08213,0.02538,0.09239,0.14904,0.15094,0.0495,0.13122,0.04569,0.09953,0.07843
dearseq,0.181,0.02632,0.02286,0.08808,0.07186,0.01987,0.14286,0.00654,0.0137,0.0641,0.01351,0.08081,0.01648,0.03681,0.02027,0.01149,0.29487,0.1117,0.00549,0.20614,0.02151,0.00581,0.03268,0.08228,0.0828,0.00552,0.01105,0.00602,0.03867,0.03145
NOISeq,0.0146,0.05333,0.01515,0.0303,0.03704,0.00752,0.04762,0.0087,0.0098,0.01111,0,0.00637,0.02878,0.01111,0.01124,0.025,0.04878,0.01575,0.02239,0.02459,0.02273,0,0.01429,0.00926,0,0.00633,0.00885,0.00649,0.01504,0
